,Unnamed: 0,Term_NDoc_Date,Sentence,polarity
2907,2907,18_185_2016-09-06,"Integration der Bleibeberechtigten und Ausweisung derjenigen, die nicht bleiben dürfen, gehören zusammen.",0.0
2906,2906,18_185_2016-09-06,"Gefährden Menschen, die in unserem Land Schutz suchen, die Sicherheit unseres Gemeinwesens, muss ihre Abschiebung durch Anordnung einer Abschiebungshaft gelingen.",0.0
4195,4195,18_94_2015-03-19,"Aber was ist mit den Hausausweisen, die wir über die Fraktionen ausstellen?",0.0
4176,4176,18_94_2015-03-19,Das heißt Willkommenskultur.,0.0
4175,4175,18_94_2015-03-19,"Das heißt für mich: Man muss auch bei den Flüchtlingen, die hierherkommen, von Anfang an mit Integrationskursen die Voraussetzungen dafür schaffen, dass sie hier, auf dem deutschen Arbeitsmarkt, ihren Qualifikationen entsprechend eine Chance bekommen und auch Qualifikationen erwerben können, und das nicht erst nach ein, zwei Jahren Asylverfahren, sondern vom ersten Tag an, wenn sie hier ankommen.",0.0
2953,2953,18_186_2016-09-07,"Alleinerziehende, 90 Prozent davon Frauen, und kinderreiche Familien und Familien mit Migrationshintergrund.",0.0
2936,2936,18_185_2016-09-06,"Es ist ohne jede Frage der Umgang unseres Staates, unseres Rechtsstaates mit der Bedrohung durch den islamistischen Terrorismus, der nicht nur Deutschland, sondern Europa insgesamt mit seinen Vorstellungen von gesellschaftlicher Freiheit fundamental herausfordert.",0.0
4149,4149,18_92_2015-03-06,An diesem Punkt setzt der vorliegende Gesetzentwurf an und sieht umfangreiche Verbesserungen im Asylsystem vor.,0.0
2952,2952,18_186_2016-09-07,"Die Türkei war über Jahre ein Transitland des Terrorismus, hat mit dem IS Geschäfte gemacht und tut das vielleicht noch heute.",0.0
4151,4151,18_92_2015-03-06,"Gleichzeitig soll die bisherige dreistufige Kann-, Sollund Mussregelung im Ausweisungsrecht grundlegend reformiert werden.",0.0
2949,2949,18_185_2016-09-06,"September 2016 18395  (A) (C)  (B) (D)  uns aber darüber sprechen, wie wir die Integrations- und Migrationsforschung substanziell stärken können.",0.0
2948,2948,18_185_2016-09-06,"Wir wissen, Bildung ist zentral für die Integration.",0.0
4154,4154,18_92_2015-03-06,"Das Ausweisungsinteresse wiegt zum Beispiel besonders schwer, wenn ein Ausländer zu Hass oder Gewalt auf Deutscher Bundestag – 18. Wahlperiode – 92. Sitzung.",0.0
2946,2946,18_185_2016-09-06,Oder nehmen Sie den Bereich der Integration von Flüchtlingen ins Bildungssystem.,0.0
2945,2945,18_185_2016-09-06,"Das Ganztagsschulangebot und das Thema „Integration und Teilhabe“ sind nur zu stemmen, wenn wir eine gemeinsame Kraftanstrengung machen.",0.0
4155,4155,18_92_2015-03-06,Auch das ist bei der Ausweisung von Interesse.,0.0
2943,2943,18_185_2016-09-06,"Damit besteht die Möglichkeit, dass er einen ganz kleinen Beitrag zur Beseitigung von Fluchtursachen leistet und die Lebensqualität von Menschen in anderen Ländern verbessert.",0.0
4156,4156,18_92_2015-03-06,"Auch hier muss der Rechtsstaat reagieren können, wenn das von dem Asylbewerber nicht erfüllt wird.",0.0
4157,4157,18_92_2015-03-06,"Ich verwahre mich aber dagegen, dass immer wieder gesagt wird, die Handwerksbetriebe bzw. Ausbildungsbetriebe könnten keine jungen Asylbewerber einstellen.",0.0
2941,2941,18_185_2016-09-06,"Ich wollte eigentlich mit dem Minister anfangen, aber es ist so viel über die Abwehr des internationalen Terrorismus gesprochen worden, dass ich dafür eine oder zwei Minuten opfern will.",0.0
4159,4159,18_94_2015-03-19,Nie wieder sollten Nationalismus und Völkerhass die europäischen Länder entzweien.,0.0
2940,2940,18_185_2016-09-06,"September 201618370  (A) (C)  (B) (D)  Frage der Integration auch im Rahmen der Gesellschaftspolitik zu beantworten, verstärkt stellen.",0.0
4160,4160,18_94_2015-03-19,"Es gibt noch 190 000 nicht abschließend bearbeitete Asylanträge, Herr de Maizière.",0.0
4163,4163,18_94_2015-03-19,Die Östliche Partnerschaft muss wieder verstärkt als gemeinsamer Rahmen für die Stärkung der regionalen Integration und Zusammenarbeit fungieren.,0.0
4164,4164,18_94_2015-03-19,"Wir sind inzwischen das zweitbeliebteste Einwanderungsland der Welt, hinter den USA.",0.0
2939,2939,18_185_2016-09-06,"Die Burka ist keine Frage der inneren Sicherheit, die Burka ist eine Frage der Integration, der Werteordnung.",0.0
4166,4166,18_94_2015-03-19,Und: Es geht um die jungen Menschen und Menschen mit Migrationshintergrund.,0.0
4168,4168,18_94_2015-03-19,Aber das ist eine Zuwanderung vor allen Dingen aus den EU-Krisenstaaten.,0.0
4050,4050,18_85_2015-02-05,Insofern brauchen wir Zuwanderung.,0.0
2937,2937,18_185_2016-09-06,Wir haben das Terrorismusbekämpfungsgesetz verlängert – die Opposition war dagegen.,0.0
4171,4171,18_94_2015-03-19,"Auf der anderen Seite müssen wir Zuwanderung gestalten, weil wir zur Sicherung unserer Wirtschaftskraft in Zukunft mehr Fachkräfte aus anderen Ländern brauchen werden.",0.0
3942,3942,18_79_2015-01-15,"Es sind bereits sehr konkrete Hilfen in der Asylpolitik und zur besseren Flüchtlingsunterbringung von Bund und Ländern, übrigens auch im Zuge der Änderung – nicht der Abschaffung – des Asylbewerberleistungsgesetzes, beschlossen worden.",0.0
4048,4048,18_85_2015-02-05,"Unser Aufenthaltsrecht regelt seit 2005 mit diversen Vorschriften im Detail, unter welchen Voraussetzungen jemand legal nach Deutschland kommen und hier bleiben kann.",0.0
3784,3784,18_233_2017-05-17,"Deshalb geht es heute auch darum, Solidarität mit allen zu üben, die von Rassismus und rechtem Terror bedroht sind.",0.0
3759,3759,18_226_2017-03-24,"Diese Integrationsfirmen wissen, wie man mit psychisch erkrankten Arbeitnehmern, die sich etwas hinzuverdienen wollen, umgeht.",0.0
3462,3462,18_210_2016-12-16,Trotzdem muss der Wille zur Integration beim Flüchtling selbst vorhanden sein.,0.0
3460,3460,18_210_2016-12-16,"Sie ist vielmehr ein Prozess, an dem sich zunächst die Zuwanderer selbst und auf der Seite der aufnehmenden Gesellschaft auch möglichst viele Bürgerinnen und Bürger beteiligen.",0.0
3458,3458,18_210_2016-12-16,"Wie gelingt die Integration all derer, die hier ein Bleiberecht haben?",0.0
3457,3457,18_210_2016-12-16,Der Beitrag von Kulturpolitik zur Integration  Drucksache 18/10634  Nach einer interfraktionellen Vereinbarung sind für diese Aussprache 38 Minuten vorgesehen.,0.0
3762,3762,18_226_2017-03-24,"Ein konkretes Beispiel: Ich habe vor ziemlich genau einem Jahr einen gehörlosen Syrer kennengelernt, der hier in Deutschland Asyl beantragt hat.",0.0
3763,3763,18_226_2017-03-24,Zum Beispiel könnten wir endlich das unsägliche Asylbewerberleistungsgesetz abschaffen.,0.0
3454,3454,18_210_2016-12-16,Auch das Institut geht sehr wohl auf den zunehmenden Rassismus in Deutschland ein.,0.0
3453,3453,18_210_2016-12-16,Es geht also um Rassismus als Quelle von Menschenrechtsverletzungen in Deutschland.,0.0
3451,3451,18_210_2016-12-16,Er wird in Artikel 16a des Grundgesetzes eingeführt und in § 29a Asylgesetz definiert.,0.0
3450,3450,18_210_2016-12-16,"Der Begriff „sicherer Herkunftsstaat“, meine Damen und Herren, ist ein Rechtsbegriff aus dem deutschen Asylrecht.",0.0
3449,3449,18_210_2016-12-16,Der Bericht kritisiert die Verkürzung der Asylverfahren.,0.0
3765,3765,18_226_2017-03-24,Wer kann mich bei der Integration des behinderten Menschen in meinem Betrieb unterstützen?,0.0
3768,3768,18_226_2017-03-24,Das hat übrigens gerade die Integration von Flüchtlingen in den Sportvereinen bewiesen.,0.0
3769,3769,18_226_2017-03-24,"Kolle ge Steffel, trotz unbestrittener Anstrengungen von Fans, Vereinen und Verbänden sind im Sport, insbesondere im Fußball, Rassismus und Homophobie leider immer wieder an der Tagesordnung.",0.0
3442,3442,18_210_2016-12-16,Für Migrationspolitik hingegen gilt das nicht.,0.0
3440,3440,18_210_2016-12-16,"Das Institut teilt mit, es habe – ich zitiere – „2015 für eine menschenrechtskonforme Asyl- und Migrationspolitik geworben“ und wolle das auch weiterhin tun.",0.0
3438,3438,18_210_2016-12-16,Ich denke da beispielsweise an die beschleunigten Asylverfahren oder an die finanzielle Unterstützung des Bundes für die Länder und die Kommunen zur Beschleunigung der Integrationsprozesse.,0.0
3437,3437,18_210_2016-12-16,"In dem Bericht steht ganz konkret:  Deutschland ist durch die internationalen Menschenrechtsverträge verpflichtet, Rassismus im politischen Raum und im öffentlichen Leben entgegenzutreten …  Staatliche Verantwortungsträgerinnen und -träger sowie Politiker und Politikerinnen werden aufgefordert,  sich explizit gegen rassistische Äußerungen und Taten auszusprechen.",0.0
3773,3773,18_226_2017-03-24,Bei der WM 1998 hatte kein Spieler des deutschen Nationalteams einen Migrationshintergrund.,0.0
3774,3774,18_226_2017-03-24,"Kein Schritt weit den Rassisten und Antisemiten, auch nicht im Sport!",0.0
3776,3776,18_226_2017-03-24,"Es ist aber nicht zielführend, in der Frage um Programme gegen Rechtsextremismus immer wieder bestehende Programme für Integration anzuführen und gegeneinander aufzuwiegen.",0.0
3434,3434,18_210_2016-12-16,"Die EU schafft unzählige Fluchtursachen: durch die bereits beschriebene Politik ihrer multinationalen Konzerne, durch Freihandel und eine Agrarpolitik, die nationale Entwicklungen zerstören, durch Rüstungsexporte sowie durch ihre Außen- und Militärpolitik.",0.0
3777,3777,18_226_2017-03-24,"Die Bekämpfung von Rechtsextremismus ist die eine Sache, die Förderung der Integration ist eine ganz andere.",0.0
3778,3778,18_226_2017-03-24,"Einerseits wird die – ich zitiere- „zentralistische und medienwirksame Herangehensweise der Verbände“ kritisiert, die teilweise dazu führe, „dass das Engagement einzelner Fans gegen Rassismus regelrecht ausgebremst“ werde.",0.0
3433,3433,18_210_2016-12-16,Stoppen Sie endlich die Abschiebungen aus Schulen und Jugendhilfeeinrichtungen!,0.0
3431,3431,18_208_2016-12-14,"Der Bericht wird sich voraussichtlich mit folgenden Themen befassen:  – Rahmendaten zu unbegleiteten ausländischen Minderjährigen,  – Informationen zu Aufenthaltsstatus, Einreise und Asylverfahren,  – Unterstützungsleistungen, Angebote und Anschlusshilfen für unbegleitete Minderjährige,  – Lebenslagen, Familienverhältnisse und Wohlbefinden der unbegleiteten Minderjährigen.",0.0
3430,3430,18_208_2016-12-14,"Im Übrigen verweise ich auf die Antwort der Bundesregierung zu Ihrer mündlichen Frage Nummer 19, Plenarprotokoll 18/205, Seite 20482, Anlage 11, wonach zwischenzeitlich sowohl das Oberverwaltungsgericht (OVG) Nordrhein-Westfalen in Münster als auch das Schleswig-Holsteinische OVG in den Gerichten vorliegenden Einzelfällen die Rechtsauffassung des BAMF bestätigt haben, dass allein wegen eines Auslandsaufenthaltes und der Asylantragstellung nicht mit beachtlicher Wahrscheinlichkeit von einer nach der Genfer Flüchtlingskonvention relevanten Verfolgung ausgegangen werden kann.",0.0
3782,3782,18_233_2017-05-17,"Deswegen ist im Gesetz zur  besseren Durchsetzung der Ausreisepflicht, das morgen hier verabschiedet wird, vorgesehen, dass die Jugendämter bei entsprechender Kenntnis gehalten sind, einen Asylantrag für die Jugendlichen zu stellen.",0.0
3463,3463,18_210_2016-12-16,"Auch deshalb wollen wir heute allen, die sich 2015 und 2016 in der Flüchtlingshilfe und in der Integrationsarbeit engagiert haben, Danke sagen.",0.0
3465,3465,18_210_2016-12-16,Erst gestern hat Frau Grütters die Auftaktrede für die „Initiative Kulturelle Integration“ gehalten.,0.0
3466,3466,18_210_2016-12-16,"Sie hat diese Initiative gemeinsam mit der Bundesarbeitsministerin, mit dem Bundesinnenminister, mit der Beauftragten für Migration, Flüchtlinge und Integration und mit dem Deutschen Kulturrat ins Leben gerufen.",0.0
3481,3481,18_210_2016-12-16,"Meine Damen und Herren, kulturelle Integration ist keine Einbahnstraße.",0.0
3738,3738,18_226_2017-03-24,"Einwanderung ist eine kulturelle Bereicherung für unser Land und bietet die Chance, dem drohenden Fachkräftemangel etwas entgegenzusetzen.",0.0
3740,3740,18_226_2017-03-24,Deutschland muss als Einwanderungsland attraktiver werden.,0.0
3491,3491,18_210_2016-12-16,Genauso förderwürdig im Zusammenhang mit Integration ist das Programm „Fußball trifft Kultur“.,0.0
3741,3741,18_226_2017-03-24,"Neben einem solchen modernen Einwanderungsgesetz brauchen wir aber auch dringend ein Integrationsgesetz, das diesen Namen verdient.",0.0
3743,3743,18_226_2017-03-24,Diese Menschen benötigen echte Integrationsangebote und eine sichere Zukunftsperspektive statt Misstrauen und Vorbehalte.,0.0
3744,3744,18_226_2017-03-24,"Meine Damen und Herren, eine ganzheitliche Demografiepolitik betrachtet Vielfalt als Chance für unser Land und Integration als zentrale gesellschaftspolitische Aufgabe.",0.0
3488,3488,18_210_2016-12-16,"Das hat nichts, aber auch gar nichts mit der sogenannten Leitkultur zu tun, wie es eine auflagenstarke Zeitung schreibt.",0.0
3745,3745,18_226_2017-03-24,"Um diesen Grundsatz institutionell zu verankern, fordern wir ein eigenes Bundesministerium für Migration und Integration.",0.0
3486,3486,18_210_2016-12-16,Die innere Kraft unseres Landes zur Integration erwächst aus der Stärke der eigenen kulturellen Werte und Traditionen und nicht aus deren Relativierung.,0.0
3484,3484,18_210_2016-12-16,"Es kann nicht darum gehen, Maßnahmen für Migrantinnen und Migranten immer nur additiv hinzuzufügen.",0.0
3483,3483,18_210_2016-12-16,"Kolleginnen und Kollegen, Deutschland ist doch längst ein Einwanderungsland.",0.0
3748,3748,18_226_2017-03-24,"Was wir brauchen, ist eine Zuwanderung in Arbeit, nicht eine Zuwanderung ins Arbeitsamt.",0.0
3482,3482,18_210_2016-12-16,"Wenn Sie über den Beitrag von Kulturpolitik zur Integration reden, dann geht es Ihnen offensichtlich nicht um eine interkulturelle Auseinandersetzung auf Augenhöhe.",0.0
3480,3480,18_210_2016-12-16,"Alles, was dieser Antrag leistet, ist eine Aufzählung von Initiativen und Projekten, die zum Thema „Kulturpolitik und Integration“ bereits laufen.",0.0
3467,3467,18_210_2016-12-16,"Ziel ist ein Dialog zwischen Politik, Kultur und Zivilgesellschaft darüber, was Integration ist und wie sich Kultur hier einbringen kann.",0.0
3749,3749,18_226_2017-03-24,"Digitalisierung beinhaltet auch Stabilisierung der ländlichen Räume, nämlich arbeitsplatzungebunden und nicht nur in der Stadt, sondern auch draußen durch die Ausweisung der richtigen Baulandflächen und das Senken der Erwerbskosten.",0.0
3478,3478,18_210_2016-12-16,"Mein Verständnis und das Verständnis meiner Partei von Integration lassen sich auf den ursprünglichen Begriff „integrare“, der aus dem Lateinischen kommt, zurückführen.",0.0
3750,3750,18_226_2017-03-24,Unter Punkt 4.4 geht es um „Zuwanderung und Integration von Flüchtlingen“.,0.0
3751,3751,18_226_2017-03-24,Sprache und Arbeit sind die Schlüssel zur Integration.,0.0
3474,3474,18_210_2016-12-16,"Für uns ist Multikulturalismus keine Ideologie, sondern gelebte Realität in Deutschland.",0.0
3752,3752,18_226_2017-03-24,Es ist über ein Einwanderungsgesetz gesprochen worden.,0.0
3473,3473,18_210_2016-12-16,Es geht in diesem Antrag nicht um den Begriff „Leitkultur“.,0.0
3472,3472,18_210_2016-12-16,"Das stimmt, aber ihre Asylpolitik reißt diese Brücken wieder ein.",0.0
3471,3471,18_210_2016-12-16,Die Integrationsbeauftragte hat in ihrem gerade vorgelegten 11.,0.0
3470,3470,18_210_2016-12-16,"Sie haben richtigerweise festgestellt, dass Integration keine Einbahnstraße ist, sondern ein Prozess, bei dem alle Beteiligten Bereicherung erfahren.",0.0
3755,3755,18_226_2017-03-24,"Ich kann einen Vertrag auch befristen, wenn die Gründe in der Person des Arbeitnehmers liegen, zum Beispiel bei einer Tätigkeit von Studierenden in den Semesterferien, bei einer vorübergehenden Beschäftigung bis hin zur Altersrente oder im Falle einer befristeten Aufenthaltserlaubnis.",0.0
3468,3468,18_210_2016-12-16,"Wir fordern, in Integrationskursen auch ganz gezielt kulturelle Aktivitäten einzubeziehen.",0.0
3756,3756,18_226_2017-03-24,Es gibt in den Integrationsfirmen 11 000 Mitarbeiter mit Beeinträchtigungen.,0.0
3783,3783,18_233_2017-05-17,Ansonsten ist die Registrierung der Asylbewerber abgeschlossen.,0.0
3423,3423,18_208_2016-12-14,"Als Einzelstaat sind wir zu klein, um Terrorismus zu bewältigen.",0.0
3493,3493,18_210_2016-12-16,"Deswegen gehört die Ausreise derer, die ausreisepflichtig sind, die kein Bleiberecht bekommen, zum Gesamtpaket des Asylrechts.",0.0
3787,3787,18_233_2017-05-17,"Wenn es hier um einen Migranten gegangen wäre – um Amri oder andere –, dann hätten Sie schon längst danach geschrien.",0.0
3808,3808,18_233_2017-05-17,Denn was bedeutet denn Integration?,0.0
3382,3382,18_203_2016-11-24,Deutsch lernen ist für die Integration der Flüchtlinge der Dreh- und Angelpunkt.,0.0
3381,3381,18_203_2016-11-24,"Künftig werden mit den bereitgestellten 300 Millionen Euro zum Beispiel 90 zusätzliche Jobcenter bedient, um den von Langzeitarbeitslosigkeit Betroffenen zu helfen, Integrationskurse anzubieten und Angebote zu machen.",0.0
3380,3380,18_203_2016-11-24,"Berlin, Donnerstag, den 24. November 201620330  (A) (C)  (B) (D)  eine Beschleunigung der Asylverfahren.",0.0
3809,3809,18_233_2017-05-17,"Integration bedeutet doch nichts anderes als Teilhabe am gesellschaftlichen Leben: an Sprache, Arbeit, Wohnen, Bildung und Kultur.",0.0
3811,3811,18_233_2017-05-17,"Das wird auch nicht dadurch richtiger, dass man dafür die Integration als Vorwand nimmt.",0.0
3812,3812,18_233_2017-05-17,"Sie wollen einen Mindestlohn von 12 Euro die Stunde, das Ende von Hartz IV, eine Grundsicherung von mehr als 1 000 Euro, zugleich eine Rückkehr zur Rente mit 65 Jahren, den vollen Zugang zu allen Sozialleistungen für sämtliche Migranten vom ersten Tag an.",0.0
3374,3374,18_203_2016-11-24,"Das ist eine gemeinsame Anstrengung des BMI, das für die Integrationskurse zuständig ist, und des BMAS, das für die berufsbezogenen Sprachkurse zuständig ist.",0.0
3813,3813,18_233_2017-05-17,Das wären dann nach Ihren Vorstellungen für jeden Asylbewerber mindestens 1 000 Euro im Monat.,0.0
3814,3814,18_233_2017-05-17,Wir können Sprachkurse finanzieren.,0.0
3370,3370,18_203_2016-11-24,"Berlin, Donnerstag, den 24. November 2016 20321  (A) (C)  (B) (D)  munen seitens der Länder an der Integrationspauschale beteiligt werden.",0.0
3369,3369,18_203_2016-11-24,In allen Ländern leisten die Kommunen Integrationsarbeit.,0.0
3822,3822,18_233_2017-05-17,"Die zitierte Aussage, das BAMF habe das Verfassungsreferendum Mitte April in der Türkei abwarten wollen, bevor über Asylgesuche entschieden wurde, trifft nicht zu.",0.0
3363,3363,18_203_2016-11-24,Sie besuchen Integrationskurse und haben einen eigenen Wohnraum gefunden.,0.0
3362,3362,18_203_2016-11-24,"Wir fordern vom Bund, beispielsweise die Hälfte der Integrationskosten pauschal zu übernehmen.",0.0
3357,3357,18_203_2016-11-24,Machen Sie ein Einwanderungsgesetz?,0.0
3355,3355,18_203_2016-11-24,"Auch eine Integration von Menschen, die in den letzten Monaten zu uns gekommen sind, klappt am besten über Bildung.",0.0
3827,3827,18_233_2017-05-17,"Auf Anregung von Frau Ministerin Rundt hat Anfang März diesen Jahres ein Fachgespräch mit ausgewiesenen Expertinnen und Experten, unter anderem auch des Zentrums für Krebsregisterdaten (ZfKD) des Robert Koch-Instituts stattgefunden.",0.0
3353,3353,18_203_2016-11-24,"Wir müssen den Arbeitsmarkt so gestalten, dass er für Frauen zugänglicher wird, dass er für Migranten zugänglicher wird, dass es Aufstiegsmobilität gibt.",0.0
3352,3352,18_203_2016-11-24,"Es gilt, mehr miteinander zu reden, mehr miteinander zu machen und nicht in Nationalismus und Protektionismus zurückzufallen.",0.0
3351,3351,18_203_2016-11-24,"In den 1920er-, 1930er-, 1940er-Jahren waren Abschottung, Protektionismus, Nationalismus, Zurückziehen, Isolationismus das Maß der Dinge – etwas, das wir jetzt zum Teil wieder sehen.",0.0
3829,3829,18_239_2017-06-21,Noch immer werden Rechtsextremismus und Rassismus offiziell kleingeschwiegen.,0.0
3350,3350,18_203_2016-11-24,"Ich glaube übrigens, das ganze Thema Fachkräftemangel kann man nicht nur durch Zuwanderung lösen, sondern man muss es vor allen Dingen auch dadurch lösen, dass wir da, wo wir immer noch Bildungsferne vererben, in den schwierigen Stadtteilen, mehr dafür tun, dass junge Leute in unserem Land besser gefördert werden.",0.0
3349,3349,18_202_2016-11-23,"Wenn wir über Rassismus reden, dann reden wir von ganz anderen Sachen als von dem, was der Minister gesagt hat.",0.0
3831,3831,18_239_2017-06-21,"Es darf auch keine Entschuldigung geben mit dem Verweis darauf, dass in vielen Fällen Flüchtlinge, Menschen mit Migrationshintergrund oder Menschen, die zum Antisemitismus erzogen worden sind, verantwortlich seien.",0.0
3346,3346,18_202_2016-11-23,Aus diesem Grund wird der Bereich Krisenbewältigung und Wiederaufbau sowie Infrastruktur zusammen mit der Sonderinitiative „Fluchtursachen bekämpfen – Flüchtlinge reintegrieren“ um 150 Millionen Euro aufgestockt.,0.0
3345,3345,18_202_2016-11-23,Das gilt übrigens auch für die Bekämpfung von Fluchtursachen.,0.0
3344,3344,18_202_2016-11-23,Das ist eine Fluchtursache.,0.0
3343,3343,18_202_2016-11-23,"Und, Herr Minister, auch Fluchtursachen werden damit nicht bekämpft, sondern neue geschaffen.",0.0
3384,3384,18_203_2016-11-24,Deutschland ist nach den USA bereits das zweitgrößte Einwanderungsland der Welt.,0.0
3385,3385,18_203_2016-11-24,Den Befürwortern eines Einwanderungsgesetzes mit einem Punktesystem kann ich in diesem Zusammenhang nur eines sagen: Wir brauchen eine passgenaue Zuwanderung in den Arbeitsmarkt und nicht in die Arbeitslosigkeit.,0.0
3386,3386,18_203_2016-11-24,Wie gelingt uns die Integration von Flüchtlingen mit Bleibeperspektive?,0.0
3799,3799,18_233_2017-05-17,"Wer Integration will, der sollte an dieser Stelle dringend nachschärfen.",0.0
3788,3788,18_233_2017-05-17,Ein Drittel dieser Zuschriften gingen zum Aufenthalts- und Asylrecht ein.,0.0
3419,3419,18_208_2016-12-14,"Wir haben auch im eigenen Land Erfahrungen mit Terrorismus gemacht, nicht nur mit Dschihadisten, die nach Syrien ausgereist sind.",0.0
3789,3789,18_233_2017-05-17,Doch aufgrund des deutschen Asylrechts sowie der Dublin-II- und der Dublin-III-Verordnung wurden die meisten Petitionen leider abgelehnt.,0.0
3418,3418,18_208_2016-12-14,"Deswegen kann es eine Zusammenarbeit geben, indem wir unsere Erfahrungen mit polizeilichen Maßnahmen, Rechtsstaatlichkeit und Prävention, die die entscheidenden Mittel gegen Terrorismus sind, weitergeben können.",0.0
3417,3417,18_208_2016-12-14,"Es gibt aber auch andere präventive Maßnahmen, zum Beispiel Maßnahmen gegen die Radikalisierung von Menschen im eigenen Land, nicht nur als Dschihadisten.",0.0
3415,3415,18_208_2016-12-14,"Alle Versuche, sei es durch Russland in Tschetschenien, sei es durch die USA in Afghanistan, sei es durch die türkische Regierung im Kurdengebiet, mit militärischen Mitteln Terrorismus zu bekämpfen, sind krachend gescheitert.",0.0
3413,3413,18_208_2016-12-14,"Das Wichtigste ist, dass wir dem Terrorismus den Nährboden entziehen.",0.0
3791,3791,18_233_2017-05-17,"Hierbei ging es beispielsweise um Visaangelegenheiten, das Aufenthaltsrecht, Behindertenwerkstätten oder die Vergütung medizinischer Leistungen.",0.0
3792,3792,18_233_2017-05-17,"Populismus, Nationalismus und Chauvinismus sind auf dem Vormarsch.",0.0
3793,3793,18_233_2017-05-17,"Während öffentliche Debatten darüber geführt wurden, wie Deutschland mit den Herausforderungen umgehen soll, und die Bundesregierung umfangreiche Pakete zur Flüchtlings- und Asylpolitik beschlossen hat, erreichten auch Petitionen von Flüchtlingen den Petitionsausschuss des Bundestages.",0.0
3795,3795,18_233_2017-05-17,"Rückblickend auf diese Legislatur stelle ich fest: Wir können durchaus stolz sein auf das, was wir im Bereich der Integrationspolitik in unserem Land geschafft haben.",0.0
3797,3797,18_233_2017-05-17,"Wir haben damit den Kommunen ermöglicht, die Integration vor Ort zu bewältigen.",0.0
3406,3406,18_208_2016-12-14,"Egal über welchen Terrorismus wir sprechen: Eine der vielen Quellen ist immer konstant, nämlich die identitätsstiftende kollektive Wahrnehmung einer Demütigung.",0.0
3405,3405,18_208_2016-12-14,Es gibt nicht die eine Antwort auf das Problem des Terrorismus.,0.0
3807,3807,18_233_2017-05-17,Was kostet Integration?,0.0
3404,3404,18_208_2016-12-14,Wie können Länder bei der Bekämpfung des Terrorismus besser zusammenarbeiten?,0.0
3403,3403,18_208_2016-12-14,"Die Bekämpfung des Terrorismus ist kein Problem eines Landes, sondern ein internationales Problem.",0.0
3801,3801,18_233_2017-05-17,Für Integration müssen wir uns aufeinander einlassen.,0.0
3401,3401,18_208_2016-12-14,"Gespaltene Gesellschaften jedoch begünstigen Gewalt, Extremismus und am Ende eben auch den Terrorismus.",0.0
3400,3400,18_208_2016-12-14,Terrorismus führt nicht an den Verhandlungstisch.,0.0
3804,3804,18_233_2017-05-17,Mittel- bis langfristig ist die Zuwanderung eine Chance.,0.0
3398,3398,18_208_2016-12-14,"Das verleitet mich zu der nächsten Frage, nämlich wie viele Imame aus den DITIB-Moscheen seit dem 15. Juli in Deutschland Asyl beantragt haben.",0.0
3396,3396,18_208_2016-12-14,"Klagen gegen Asylbescheide des Bundesamts für Migration und Flüchtlinge  Antwort Dr. Günter Krings, Parl.",0.0
3395,3395,18_208_2016-12-14,"Durchschnittliche Dauer eines Asylverfahrens  Antwort Dr. Günter Krings, Parl.",0.0
3394,3394,18_203_2016-11-24,"Wir sehen doch schon jetzt bei der Integration von Flüchtlingen, dass wir im ländlichen Raum häufig sehr viel besser in der Lage sind, Probleme zu lösen, als es in der Stadt machbar ist.",0.0
3389,3389,18_203_2016-11-24,Der Bund hatte die Gelder für die Betreuung während der Integrationskurse gestrichen.,0.0
3388,3388,18_203_2016-11-24,Mit diesen Mitteln konnten beispielsweise – wie gewünscht – die Erhöhung der Mittel für die Jugendmigrationsdienste oder die dringend notwendige Erhöhung der Mittel für die C1-Sprachkurse durchgeführt werden.,0.0
3806,3806,18_233_2017-05-17,Wir wollen die Sanktionen beim SGB II abschaffen und dass im Asylbewerberleistungsgesetz das Existenzminimum auch gewahrt wird.,0.0
3492,3492,18_210_2016-12-16,Wir kommen zu dem Antrag der Fraktionen der CDU/ CSU und SPD auf der Drucksache 18/10634 mit dem Titel „Kultur baut Brücken – Der Beitrag von Kulturpolitik zur Integration“.,0.0
3494,3494,18_210_2016-12-16,Im Jahr 2015 sind über 32 000 Asylanträge von afghanischen Staatsangehörigen  Vizepräsidentin Petra Pau  Deutscher Bundestag – 18.,0.0
3078,3078,18_191_2016-09-23,Wir wollen keine Einwanderung in die Sozialsysteme.,0.0
3533,3533,18_210_2016-12-16,"Mit dieser Kampagne damals wurde die Integrationspolitik dieses Landes um Jahre, wenn nicht sogar um Jahrzehnte zurückgeworfen.",0.0
3620,3620,18_218_2017-02-16,Es gibt Wegzugsregionen und Zuzugsregionen.,0.0
3560,3560,18_211_2017-01-18,"Dann ergreifen wir die richtigen Maßnahmen, damit dem Terrorismus der Boden entzogen wird.",0.0
3621,3621,18_218_2017-02-16,"Es reicht dann der Zuzug von Flüchtlingen, wie wir ihn in den letzten Jahren hatten, um die politische Stimmung völlig kippen zu lassen, um Rassismus und Aggression hochkommen zu lassen und jenen eine Chance einzuräumen, die mit nationalistischen Parolen erfolgreich sein wollen.",0.0
3559,3559,18_211_2017-01-18,Und zum Satz: Wir müssen die Fluchtursachen bekämpfen.,0.0
3622,3622,18_218_2017-02-16,Sie sagen: Wir haben doch in die Integration investiert.,0.0
